cmdCode,cmdDesc,Month,total_qty,total_net_weight_kg,total_gross_weight_kg,avg_import_value_usd,total_import_value_usd,transaction_count
1006,Rice,2020-52,7.12572534E8,7.12572534E8,0,2.056936852631579E7,390818002,19
1005,Maize (corn),2022-52,2.188474918E9,2.188474918E9,0,5.635117785714286E7,788916490,14
1005,Maize (corn),2019-52,2.033383102E9,2.033383102E9,0,2.6585516125E7,425368258,16
1005,Maize (corn),2023-52,2.471692674E9,2.471692674E9,0,4.5961244125E7,735379906,16
1006,Rice,2018-52,4.50764913E9,4.50764913E9,0,1.4816120314285713E8,2074256844,14
1005,Maize (corn),2017-52,1.034991962E9,1.034991962E9,0,1.9012863833333332E7,228154366,12
1006,Rice,2015-52,1.723202002E9,1.723202002E9,,6.392765272727273E7,703204180,11
1006,Rice,2017-52,6.10549292E8,6.10549292E8,0,3.1920383111111112E7,287283448,9
1006,Rice,2016-52,2.566357054E9,2.566357054E9,,9.66984649090909E7,1063683114,11
1005,Maize (corn),2020-52,1.731305646E9,1.731305646E9,0,2.031168470588235E7,345298640,17
1005,Maize (corn),2018-52,1.474450903964E9,1.474450903964E9,0,1.8770399647058822E7,319096794,17
1006,Rice,2022-52,8.58414634E8,8.58414634E8,0,2.69389576E7,404084364,15
1005,Maize (corn),2021-52,1.991997786E9,1.991997786E9,0,4.247092271428572E7,594592918,14
1005,Maize (corn),2016-52,2.279388908E9,2.279388908E9,,4.198596545454545E7,461845620,11
1006,Rice,2019-52,8.89017592E8,8.89017592E8,0,2.6322013E7,368508182,14
1005,Maize (corn),2015-52,6.535388692E9,6.535388692E9,,1.0717642353846154E8,1393293506,13
1006,Rice,2023-52,6.12571541E9,6.12571541E9,0,2.752344436923077E8,3578047768,13
1006,Rice,2021-52,8.15482956E8,8.15482956E8,0,2.29752255E7,367603608,16
